feature,importance
dim_890,0.33865425
dim_814,0.25113174
dim_615,0.22254582
dim_106,0.10500566
dim_25,0.063090906
dim_62,0.006440676
dim_162,0.0053484733
dim_254,0.0040291995
dim_6,0.0035980241
dim_1,0.00015515325
dim_1013,0.0
dim_1014,0.0
dim_1015,0.0
dim_1016,0.0
dim_1017,0.0
dim_1018,0.0
dim_1019,0.0
dim_1020,0.0
dim_1021,0.0
dim_1022,0.0
dim_1023,0.0
dim_16,0.0
dim_17,0.0
dim_18,0.0
dim_19,0.0
dim_20,0.0
dim_21,0.0
dim_22,0.0
dim_23,0.0
dim_24,0.0
dim_26,0.0
dim_27,0.0
dim_28,0.0
dim_29,0.0
dim_30,0.0
dim_31,0.0
dim_32,0.0
dim_33,0.0
dim_34,0.0
dim_35,0.0
dim_36,0.0
dim_37,0.0
dim_38,0.0
dim_39,0.0
dim_40,0.0
dim_41,0.0
dim_42,0.0
dim_43,0.0
dim_44,0.0
dim_45,0.0
dim_46,0.0
dim_47,0.0
dim_48,0.0
dim_49,0.0
dim_50,0.0
dim_51,0.0
dim_52,0.0
dim_53,0.0
dim_54,0.0
dim_55,0.0
dim_56,0.0
dim_57,0.0
dim_58,0.0
dim_59,0.0
dim_60,0.0
dim_61,0.0
dim_63,0.0
dim_64,0.0
dim_65,0.0
dim_66,0.0
dim_67,0.0
dim_68,0.0
dim_69,0.0
dim_70,0.0
dim_71,0.0
dim_72,0.0
dim_73,0.0
dim_74,0.0
dim_75,0.0
dim_76,0.0
dim_77,0.0
dim_78,0.0
dim_79,0.0
dim_80,0.0
dim_81,0.0
dim_82,0.0
dim_83,0.0
dim_84,0.0
dim_85,0.0
dim_86,0.0
dim_87,0.0
dim_88,0.0
dim_89,0.0
dim_90,0.0
dim_91,0.0
dim_92,0.0
dim_93,0.0
dim_94,0.0
dim_95,0.0
dim_96,0.0
dim_97,0.0
dim_98,0.0
dim_99,0.0
dim_100,0.0
dim_101,0.0
dim_102,0.0
dim_103,0.0
dim_104,0.0
