feature,importance
mandatory_skill_coverage,0.33205754
critical_skill_gap_count,0.20094794
skill_match_ratio,0.1695989
domain_similarity_score,0.061181117
project_complexity_score,0.03428712
skill_depth_score,0.017914617
keyword_stuffing_ratio,0.016739188
resume_consistency_score,0.014413386
writing_clarity_score,0.014091025
internship_relevance_score,0.012903107
production_tools_usage_score,0.012557704
university_tier_score,0.010373648
skill_project_consistency,0.010096956
gpa_normalized,0.009422735
open_source_score,0.00923809
coursework_relevance_score,0.008995624
resume_length_normalized,0.008929129
action_verb_density,0.008780465
experience_duration_months,0.008649762
degree_level_encoded,0.008540152
github_activity_score,0.008124379
hackathon_count,0.0077478266
project_count,0.0076930434
quantified_impact_presence,0.006716536
